id;FirstName;LastName;Gender;Birthday;Status;Salary;Taxes;Department;HourlyRate;MaritalStatus;OverTime
1;Kimberley;Kuhic;F;15/5/1990;--;110182;;Sales;40;Single;Yes
1;Kitty;Ruecker;F;24/7/1976;PE;90613;;Sales;76;Married;No
5;Jamal;Cole;M;31/1/1983;PE;109251;;Research & Development;89;Single;Yes
5;Christopher;D'Amore;F;16/3/1974;PE;103614;;Sales;78;Married;No
5;Carly;Ratke;M;16/1/1998;PE;88315;;Research & Development;86;Single;Yes
8;Alvy;Beahan;;5/8/1993;PE;66519;;Sales;77;Divorced;No
8;Paola;Kilback;F;9/11/1981;PE;61536;;Human Resources;46;Divorced;No
10;Pate;Weber;F;3/1/1992;PE;71722;;Research & Development;30;Married;Yes
10;Saige;Casper;M;3/8/1990;;61597;;Research & Development;82;Married;No
11;Buna;Connelly;M;1/1/1990;PE;148038;;Sales;78;Married;Yes
12;Javion;Moore;M;13/2/1976;;137513;;Research & Development;38;Single;No
12;Ursula;Wintheiser;M;26/11/1999;--;135046;;Research & Development;72;Divorced;No
12;Alesia;Hirthe;M;21/4/1979;PE;126664;;Sales;55;Single;No
12;Efrain;Harber;;26/1/1995;;57029;;Research & Development;43;Married;No
19;Jalen;Considine;F;9/12/1987;;110155;;Research & Development;--;Married;No
21;Ezequiel;Baumbach;M;19/12/1992;PE;131575;;Research & Development;96;Married;No
21;Elaine;Barrows;M;8/6/1983;PE;59553;;Research & Development;69;Single;Yes
22;Rashawn;Wyman;M;6/5/1995;;56155;;Research & Development;64;Single;No
24;Ariella;Runte;F;26/12/1993;PE;107325;;Research & Development;87;Divorced;No
24;Abbott;Rippin;F;11/3/1984;PE;93348;;Research & Development;100;Single;No
26;Albertus;Bernier;;6/1/1989;PE;101017;;Research & Development;32;Married;No
31;Syreeta;Altenwerth;M;28/8/1999;PE;117554;;Research & Development;32;Single;No
31;Teddy;Rath;M;17/2/1990;PE;109005;;Sales;51;Married;No
31;Jory;Waters;;5/10/1970;;80945;;Research & Development;91;Single;No
33;Brittnay;Yundt;;30/9/1984;PE;70648;;Research & Development;97;Single;No
34;Aimee;Sauer;M;18/11/1992;CA;125785;;Research & Development;86;Single;No
34;Danyel;Considine;F;5/5/1973;PE;61059;;Sales;64;Married;Yes
35;Virgia;Feil;;19/9/1987;TE;59488;;Research & Development;33;Single;No
36;Lukas;Kunze;;29/9/1996;TE;139432;;Research & Development;88;Single;Yes
36;Einar;Beier;F;6/9/1971;;113541;;Sales;55;Married;Yes
36;Ardell;Von;M;3/3/1989;CA;110429;;Research & Development;68;Married;No
36;Callie;Lesch;M;4/10/1992;;66278;;Research & Development;47;Married;No
37;Jolette;Marks;M;12/10/1977;;132173;;Research & Development;39;Married;No
38;Duke;Krajcik;M;29/9/1977;PE;136383;;Research & Development;44;Single;No
39;Gilda;Gerlach;F;25/6/1987;PE;58922;;Research & Development;97;Married;No
41;Gladyce;Kovacek;F;24/5/1993;PE;110498;;Research & Development;40;Married;Yes
